source_id,title,year,evidence_type,domain,claim_supported,confidence,relevant_reports,url
oecd_productivity_2025,"The Effects of Generative AI on Productivity, Innovation and Entrepreneurship",2025,policy_review,market_entry,"GenAI can lower innovation frictions and automate or augment tasks, but benefits depend on responsible adoption and complementary capabilities.",High,"market_entry_barriers_shift.md; market_fragmentation_user_share.md",https://oecd.ai/en/ai-publications/the-effects-of-generative-ai-on-productivity-innovation-and-entrepreneurship
oecd_competition_2025,Artificial Intelligence and Competitive Dynamics in Downstream Markets,2025,competition_policy,market_structure,"AI changes competitive dynamics downstream from the foundation-model layer, so app-level entry and concentration must be evaluated separately.",High,"market_entry_barriers_shift.md; market_fragmentation_user_share.md",https://ideas.repec.org/p/oec/dafaac/331-en.html
nber_market_power_2024,Market Power in Artificial Intelligence,2024,working_paper,market_structure,"AI market power can arise from training data, input data, predictions, compute, and distribution rather than only product features.",High,market_entry_barriers_shift.md,https://www.nber.org/papers/w32270
ai_native_firms_2026,AI-Native Firms,2026,working_paper,entrepreneurship,"AI-native startups can be smaller and more technically composed, supporting the view that AI changes organization shape without removing expertise requirements.",Medium-high,"market_entry_barriers_shift.md; market_fragmentation_user_share.md",https://www.hbs.edu/ris/Publication%20Files/26-090_96f92aa0-37d9-4789-beaa-5c0cb87a4032.pdf
product_hunt_2026,"Generative AI Fuels Solo Entrepreneurship, but Teams Still Lead at the Top",2026,empirical_platform_study,entrepreneurship,"GenAI can increase solo entrepreneurial entry while top-ranked outcomes still favor teams.",Medium-high,"market_entry_barriers_shift.md; market_fragmentation_user_share.md",https://arxiv.org/abs/2605.10291
genai_entrepreneurship_slr_2025,GenAI in Entrepreneurship,2025,systematic_review,entrepreneurship,"The entrepreneurship literature is expanding but still needs more macro-level and regulatory research on GenAI as an external enabler.",Medium-high,market_entry_barriers_shift.md,https://arxiv.org/abs/2505.05523
empowerment_entrapment_2026,Generative AI Use in Entrepreneurship,2026,integrative_review,entrepreneurship,"GenAI can empower entrepreneurs while also causing overconfidence, workslop, hallucination, and reduced learning.",Medium-high,market_entry_barriers_shift.md,https://arxiv.org/abs/2604.02567
ai_cofounder_2025,AI as Co-founder,2025,empirical_firm_entry_study,entrepreneurship,"The ChatGPT shock is associated with more small-firm entry in areas with stronger AI human capital.",Medium,market_fragmentation_user_share.md,https://arxiv.org/abs/2512.06506
llm4se_slr_2023,Large Language Models for Software Engineering,2023,systematic_literature_review,software_engineering,"LLM4SE research is broad and rapidly growing, but evaluation, limitations, and lifecycle coverage remain unsettled.",High,long_term_ai_app_maintenance.md,https://arxiv.org/abs/2308.10620
deeper_debt_2026,"Faster Code, Deeper Debt?",2026,multivocal_literature_review,technical_debt,"LLM-assisted development can amplify code, design, documentation, prompt, provenance, and governance debt.",High,long_term_ai_app_maintenance.md,https://arxiv.org/abs/2606.14796
tam_eval_2026,TAM-Eval,2026,benchmark,maintenance,"LLMs have limited capability in realistic unit-test creation, repair, and update scenarios.",High,long_term_ai_app_maintenance.md,https://arxiv.org/abs/2601.18241
llm_challenges_2024,The Current Challenges of Software Engineering in the Era of Large Language Models,2024,challenge_synthesis,software_engineering,"LLM-based software engineering faces challenges across requirements, design, coding, testing, review, maintenance, security, data, training, and evaluation.",High,long_term_ai_app_maintenance.md,https://arxiv.org/abs/2412.14554
copilot_maintenance_2025,AI-Assisted Programming Decreases the Productivity of Experienced Developers by Increasing the Technical Debt and Maintenance Burden,2025,empirical_oss_study,technical_debt,"AI-assisted productivity gains may shift rework and review burden toward experienced maintainers.",Medium-high,long_term_ai_app_maintenance.md,https://arxiv.org/abs/2510.10165
promptware_2025,Promptware Engineering,2025,vision_roadmap,software_engineering,"Prompt-enabled systems need software engineering discipline across requirements, testing, debugging, evolution, deployment, and monitoring.",Medium,long_term_ai_app_maintenance.md,https://arxiv.org/abs/2503.02400
promptdebt_2025,PromptDebt,2025,empirical_repository_study,technical_debt,"Prompt design, hyperparameter tuning, and LLM-framework integration create LLM-specific self-admitted technical debt.",Medium-high,long_term_ai_app_maintenance.md,https://arxiv.org/abs/2509.20497
trust_codegen_2023,Investigating and Designing for Trust in AI-powered Code Generation Tools,2023,qualitative_study,trust,"Developer trust in AI code generation is situational and depends on expectation-setting, configurability, and validation affordances.",High,ai_code_trust_matrix.md,https://arxiv.org/abs/2305.11248
trust_terrain_2025,Mapping the Trust Terrain,2025,systematic_review,trust,"Trust-related concepts for LLMs in software engineering require clearer definitions and better calibration.",High,ai_code_trust_matrix.md,https://arxiv.org/abs/2503.13793
human_ai_taxonomy_2025,How Developers Interact with AI,2025,taxonomy,trust,"Developer-AI workflows include multiple interaction modes and require more research on control, trust, and usability.",High,ai_code_trust_matrix.md,https://arxiv.org/abs/2501.08774
compiler_stack_2026,The New Compiler Stack,2026,survey,compilers,"LLM-enabled compilation offers new opportunities but correctness and scalability remain core challenges.",High,ai_code_trust_matrix.md,https://arxiv.org/abs/2601.02045
agentic_trust_2025,Agentic AI Software Engineers,2025,position_paper,trust,"Future agentic software engineering should shift from programming at scale to programming with trust.",Medium,ai_code_trust_matrix.md,https://arxiv.org/abs/2502.13767
agent_eval_2026,"Reproducible, Explainable, and Effective Evaluations of Agentic AI for Software Engineering",2026,evaluation_guideline,trust,"Agentic AI evaluations should expose trajectories and interaction data to support reproducible comparison.",Medium-high,ai_code_trust_matrix.md,https://arxiv.org/abs/2604.01437
