scenario,scenario_label,rank,sandbox_id,sandbox,type,deterministic_score,monte_carlo_mean_rank,win_rate,top3_rate,posture,best_for,watch_for
local_developer_agents,Local developer agents,1,flue_virtual_sandbox,Flue virtual sandbox,agent_virtual_workspace,3.9647,3.668,0.3078,0.5965,Pilot head-to-head,"Document, repo-slice, or workflow tasks where the app can stage files and does not need arbitrary OS-level execution.",The virtual sandbox is not equivalent to hard OS isolation for arbitrary untrusted code execution.
local_developer_agents,Local developer agents,2,daytona,Daytona sandboxes,managed_agent_sandbox,3.9624,3.3715,0.2675,0.6248,Pilot head-to-head,Agent workflows that need a developer-like machine with programmatic file and command control.,"Validate actual isolation, tenancy, credential flow, and pricing under sustained task volume."
local_developer_agents,Local developer agents,3,kubernetes_hardened_pods,Kubernetes hardened pods,orchestrated_container_policy,3.9561,3.1513,0.2248,0.6475,Pilot head-to-head,"Enterprise platform teams that already operate Kubernetes and need central policy, admission, and audit controls.","A hardened pod is still container isolation unless combined with gVisor, Kata, or VM-backed runtime classes; policy drift is a real risk."
local_developer_agents,Local developer agents,4,docker_rootless,Docker rootless containers,container_runtime,3.9216,4.6508,0.0775,0.361,Fallback or benchmark,Local developer agents and CI-like workflows that need familiar container tooling.,"Container escapes remain a kernel/runtime risk; bind mounts, Docker socket exposure, privileged flags, and rootless-in-container workarounds can erase much of the benefit."
local_developer_agents,Local developer agents,5,podman_rootless,Podman rootless containers,container_runtime,3.8964,5.9625,0.0307,0.1862,Watchlist,Security-conscious local or enterprise Linux environments that want rootless containers without a long-running privileged daemon.,"Rootless networking, storage drivers, UID/GID mapping, and enterprise desktop support need deliberate setup."
autonomous_pr_security,Autonomous PR security,1,daytona,Daytona sandboxes,managed_agent_sandbox,4.1655,1.6087,0.6415,0.94,Primary candidate,Agent workflows that need a developer-like machine with programmatic file and command control.,"Validate actual isolation, tenancy, credential flow, and pricing under sustained task volume."
autonomous_pr_security,Autonomous PR security,2,e2b,E2B sandboxes,managed_agent_sandbox,4.1138,2.4365,0.2547,0.8237,Pilot head-to-head,Agent products that need a ready-made cloud sandbox API and do not want to operate the sandbox control plane.,"Managed-service dependency, data residency, cost, and secret-handling model must pass procurement and security review."
autonomous_pr_security,Autonomous PR security,3,kubernetes_hardened_pods,Kubernetes hardened pods,orchestrated_container_policy,4.0454,4.0432,0.0395,0.4253,Fallback or benchmark,"Enterprise platform teams that already operate Kubernetes and need central policy, admission, and audit controls.","A hardened pod is still container isolation unless combined with gVisor, Kata, or VM-backed runtime classes; policy drift is a real risk."
autonomous_pr_security,Autonomous PR security,4,modal_sandboxes,Modal Sandboxes,managed_cloud_sandbox,4.0441,4.4307,0.0367,0.3782,Fallback or benchmark,"High-concurrency evaluations, RL rollouts, and production agent code execution where managed scale matters.",Managed-service dependency and platform-specific observability/cost model must match the workload.
autonomous_pr_security,Autonomous PR security,5,firecracker_microvm,Firecracker microVMs,microvm_runtime,3.9947,6.0823,0.0032,0.102,Security architecture option,High-assurance multi-tenant sandbox services where the team can own the control plane.,"It is a low-level building block: image lifecycle, networking, snapshots, storage, API service, and observability must be engineered."
untrusted_user_code,Untrusted user code,1,daytona,Daytona sandboxes,managed_agent_sandbox,4.1994,1.7437,0.572,0.9263,Primary candidate,Agent workflows that need a developer-like machine with programmatic file and command control.,"Validate actual isolation, tenancy, credential flow, and pricing under sustained task volume."
untrusted_user_code,Untrusted user code,2,e2b,E2B sandboxes,managed_agent_sandbox,4.1578,2.4272,0.2727,0.8245,Pilot head-to-head,Agent products that need a ready-made cloud sandbox API and do not want to operate the sandbox control plane.,"Managed-service dependency, data residency, cost, and secret-handling model must pass procurement and security review."
untrusted_user_code,Untrusted user code,3,modal_sandboxes,Modal Sandboxes,managed_cloud_sandbox,4.1208,3.3457,0.112,0.6218,Pilot head-to-head,"High-concurrency evaluations, RL rollouts, and production agent code execution where managed scale matters.",Managed-service dependency and platform-specific observability/cost model must match the workload.
untrusted_user_code,Untrusted user code,4,kubernetes_hardened_pods,Kubernetes hardened pods,orchestrated_container_policy,4.0513,5.244,0.0103,0.1767,Watchlist,"Enterprise platform teams that already operate Kubernetes and need central policy, admission, and audit controls.","A hardened pod is still container isolation unless combined with gVisor, Kata, or VM-backed runtime classes; policy drift is a real risk."
untrusted_user_code,Untrusted user code,5,firecracker_microvm,Firecracker microVMs,microvm_runtime,4.0455,5.6205,0.005,0.1185,Security architecture option,High-assurance multi-tenant sandbox services where the team can own the control plane.,"It is a low-level building block: image lifecycle, networking, snapshots, storage, API service, and observability must be engineered."
evals_and_rl_scale,Evals and RL scale,1,daytona,Daytona sandboxes,managed_agent_sandbox,4.2638,1.462,0.666,0.9865,Primary candidate,Agent workflows that need a developer-like machine with programmatic file and command control.,"Validate actual isolation, tenancy, credential flow, and pricing under sustained task volume."
evals_and_rl_scale,Evals and RL scale,2,modal_sandboxes,Modal Sandboxes,managed_cloud_sandbox,4.1973,2.374,0.1675,0.9337,Pilot head-to-head,"High-concurrency evaluations, RL rollouts, and production agent code execution where managed scale matters.",Managed-service dependency and platform-specific observability/cost model must match the workload.
evals_and_rl_scale,Evals and RL scale,3,e2b,E2B sandboxes,managed_agent_sandbox,4.1946,2.407,0.1615,0.9197,Pilot head-to-head,Agent products that need a ready-made cloud sandbox API and do not want to operate the sandbox control plane.,"Managed-service dependency, data residency, cost, and secret-handling model must pass procurement and security review."
evals_and_rl_scale,Evals and RL scale,4,vercel_sandbox,Vercel Sandbox,managed_microvm_sandbox,4.0315,5.593,0.0027,0.064,Watchlist,Web/app-generation agents already on Vercel that need ephemeral Linux sandboxes with real-time execution.,"Platform dependency, region/control-plane constraints, and whether the product's network/secret policy is sufficient for enterprise autonomy."
evals_and_rl_scale,Evals and RL scale,5,openhands_runtime_api,OpenHands runtime API sandbox,agent_runtime_sandbox,4.0121,6.0682,0.0008,0.0437,Watchlist,Custom software-agent products that want an SDK-level remote workspace abstraction.,"Runtime service availability, image control, credential handling, and the exact container isolation policy must be verified."
enterprise_self_hosted,Enterprise self-hosted,1,kubernetes_hardened_pods,Kubernetes hardened pods,orchestrated_container_policy,4.0816,1.4125,0.6775,0.9872,Primary candidate,"Enterprise platform teams that already operate Kubernetes and need central policy, admission, and audit controls.","A hardened pod is still container isolation unless combined with gVisor, Kata, or VM-backed runtime classes; policy drift is a real risk."
enterprise_self_hosted,Enterprise self-hosted,2,firecracker_microvm,Firecracker microVMs,microvm_runtime,4.0456,2.049,0.2575,0.9483,Pilot head-to-head,High-assurance multi-tenant sandbox services where the team can own the control plane.,"It is a low-level building block: image lifecycle, networking, snapshots, storage, API service, and observability must be engineered."
enterprise_self_hosted,Enterprise self-hosted,3,kata_containers,Kata Containers,vm_backed_container_runtime,3.9842,3.1705,0.0517,0.7027,Pilot head-to-head,Enterprise Kubernetes or container-platform teams that want hardware virtualization as a second isolation layer.,"RuntimeClass, image, networking, Kubernetes integration, performance overhead, and VMM backend choices add operational work."
enterprise_self_hosted,Enterprise self-hosted,4,gvisor_runsc,gVisor runsc,userspace_kernel,3.9184,4.6545,0.003,0.1655,Watchlist,Running untrusted containerized code when stronger isolation than normal containers is needed without moving fully to VMs.,"Syscall compatibility, filesystem performance, and debugging differences must be tested against real build/test workloads."
enterprise_self_hosted,Enterprise self-hosted,5,flue_virtual_sandbox,Flue virtual sandbox,agent_virtual_workspace,3.8804,5.7785,0.008,0.1242,Watchlist,"Document, repo-slice, or workflow tasks where the app can stage files and does not need arbitrary OS-level execution.",The virtual sandbox is not equivalent to hard OS isolation for arbitrary untrusted code execution.
