scenario,criterion,raw_weight,normalized_weight
custom_orchestrator_platform,implementation_ease,0.9,0.0661764705882353
custom_orchestrator_platform,maturity,0.8,0.05882352941176471
custom_orchestrator_platform,provider_portability,1.1,0.08088235294117647
custom_orchestrator_platform,sandbox_isolation,1.1,0.08088235294117647
custom_orchestrator_platform,persistence_memory,1.0,0.07352941176470588
custom_orchestrator_platform,multi_agent,1.2,0.08823529411764706
custom_orchestrator_platform,human_control,0.6,0.04411764705882353
custom_orchestrator_platform,ci_pr,0.8,0.05882352941176471
custom_orchestrator_platform,observability,1.0,0.07352941176470588
custom_orchestrator_platform,security_governance,1.0,0.07352941176470588
custom_orchestrator_platform,extensibility,1.4,0.10294117647058823
custom_orchestrator_platform,deployment_flexibility,1.1,0.08088235294117647
custom_orchestrator_platform,coding_fit,1.0,0.07352941176470588
custom_orchestrator_platform,research_reproducibility,0.6,0.04411764705882353
secure_autonomous_prs,implementation_ease,0.6,0.043478260869565216
secure_autonomous_prs,maturity,1.0,0.07246376811594203
secure_autonomous_prs,provider_portability,0.6,0.043478260869565216
secure_autonomous_prs,sandbox_isolation,1.5,0.10869565217391304
secure_autonomous_prs,persistence_memory,0.7,0.05072463768115942
secure_autonomous_prs,multi_agent,0.8,0.057971014492753624
secure_autonomous_prs,human_control,1.0,0.07246376811594203
secure_autonomous_prs,ci_pr,1.4,0.10144927536231883
secure_autonomous_prs,observability,1.1,0.07971014492753624
secure_autonomous_prs,security_governance,1.5,0.10869565217391304
secure_autonomous_prs,extensibility,0.8,0.057971014492753624
secure_autonomous_prs,deployment_flexibility,1.0,0.07246376811594203
secure_autonomous_prs,coding_fit,1.2,0.08695652173913043
secure_autonomous_prs,research_reproducibility,0.6,0.043478260869565216
quick_local_coding,implementation_ease,1.5,0.12295081967213116
quick_local_coding,maturity,1.2,0.09836065573770492
quick_local_coding,provider_portability,1.1,0.09016393442622953
quick_local_coding,sandbox_isolation,0.5,0.04098360655737705
quick_local_coding,persistence_memory,0.6,0.04918032786885246
quick_local_coding,multi_agent,0.4,0.03278688524590164
quick_local_coding,human_control,1.2,0.09836065573770492
quick_local_coding,ci_pr,0.7,0.05737704918032787
quick_local_coding,observability,0.5,0.04098360655737705
quick_local_coding,security_governance,0.7,0.05737704918032787
quick_local_coding,extensibility,0.9,0.0737704918032787
quick_local_coding,deployment_flexibility,0.9,0.0737704918032787
quick_local_coding,coding_fit,1.5,0.12295081967213116
quick_local_coding,research_reproducibility,0.5,0.04098360655737705
research_benchmarking,implementation_ease,2.0,0.1724137931034483
research_benchmarking,maturity,0.5,0.04310344827586207
research_benchmarking,provider_portability,0.6,0.05172413793103448
research_benchmarking,sandbox_isolation,0.4,0.034482758620689655
research_benchmarking,persistence_memory,0.1,0.008620689655172414
research_benchmarking,multi_agent,0.1,0.008620689655172414
research_benchmarking,human_control,0.1,0.008620689655172414
research_benchmarking,ci_pr,0.1,0.008620689655172414
research_benchmarking,observability,0.6,0.05172413793103448
research_benchmarking,security_governance,0.2,0.017241379310344827
research_benchmarking,extensibility,0.5,0.04310344827586207
research_benchmarking,deployment_flexibility,0.4,0.034482758620689655
research_benchmarking,coding_fit,1.0,0.08620689655172414
research_benchmarking,research_reproducibility,5.0,0.4310344827586207
enterprise_control_plane,implementation_ease,0.7,0.04794520547945205
enterprise_control_plane,maturity,1.2,0.0821917808219178
enterprise_control_plane,provider_portability,1.1,0.07534246575342467
enterprise_control_plane,sandbox_isolation,1.0,0.0684931506849315
enterprise_control_plane,persistence_memory,1.0,0.0684931506849315
enterprise_control_plane,multi_agent,1.2,0.0821917808219178
enterprise_control_plane,human_control,1.1,0.07534246575342467
enterprise_control_plane,ci_pr,1.0,0.0684931506849315
enterprise_control_plane,observability,1.2,0.0821917808219178
enterprise_control_plane,security_governance,1.4,0.0958904109589041
enterprise_control_plane,extensibility,1.1,0.07534246575342467
enterprise_control_plane,deployment_flexibility,1.2,0.0821917808219178
enterprise_control_plane,coding_fit,1.0,0.0684931506849315
enterprise_control_plane,research_reproducibility,0.4,0.027397260273972605
